Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 15, 300, 206, 206,   0, 1.14550186124971
5, 1, 16, 300, 206, 2006, 0.0207053589291015,   0
5, 1, 16, 300, 206, 206,   0, 1.12479650232061
5, 1, 17, 300, 206, 2006, 0.0203311021051837,   0
5, 1, 17, 300, 206, 206,   0, 1.10446540021542
5, 1, 18, 300, 206, 2006, 0.0199636101082239,   0
5, 1, 18, 300, 206, 206,   0, 1.0845017901072
5, 1, 19, 300, 206, 2006, 0.0196027606615363,   0
5, 1, 19, 300, 206, 206,   0, 1.06489902944566
5, 1, 1, 300, 207, 2006, 0.0859924133596421,   0
5, 1, 1, 300, 207, 207,   0, 3.67899421164036
5, 1, 2, 300, 207, 2006, 0.0840283439240919,   0
5, 1, 2, 300, 207, 207,   0, 3.59496586771627
5, 1, 3, 300, 207, 2006, 0.0821091338964481,   0
5, 1, 3, 300, 207, 207,   0, 3.51285673381982
5, 1, 4, 300, 207, 2006, 0.0802337586864161,   0
5, 1, 4, 300, 207, 207,   0, 3.4326229751334
5, 1, 5, 300, 207, 2006, 0.0784012171053794,   0
5, 1, 5, 300, 207, 207,   0, 3.35422175802802
5, 1, 6, 300, 207, 2006, 0.0766105308318994,   0
5, 1, 6, 300, 207, 207,   0, 3.27761122719612
5, 1, 7, 300, 207, 2006, 0.0748607438894289,   0
5, 1, 7, 300, 207, 207,   0, 3.2027504833067
5, 1, 8, 300, 207, 2006, 0.0731509221359592,   0
5, 1, 8, 300, 207, 207,   0, 3.12959956117074
5, 1, 9, 300, 207, 2006, 0.0714801527653095,   0
5, 1, 9, 300, 207, 207,   0, 3.05811940840543
5, 1, 10, 300, 207, 2006, 0.0698475438198249,   0
5, 1, 10, 300, 207, 207,   0, 2.9882718645856
5, 1, 11, 300, 207, 2006, 0.06825222371419,   0
5, 1, 11, 300, 207, 207,   0, 2.92001964087141
5, 1, 12, 300, 207, 2006, 0.0666933407701249,   0
5, 1, 12, 300, 207, 207,   0, 2.85332630010129
5, 1, 13, 300, 207, 2006, 0.0651700627617098,   0
5, 1, 13, 300, 207, 207,   0, 2.78815623733958
5, 1, 14, 300, 207, 2006, 0.0636815764710894,   0
5, 1, 14, 300, 207, 207,   0, 2.72447466086849
5, 1, 15, 300, 207, 2006, 0.0622270872543336,   0
5, 1, 15, 300, 207, 207,   0, 2.66224757361415
5, 1, 16, 300, 207, 2006, 0.0608058186171996,   0
5, 1, 16, 300, 207, 207,   0, 2.60144175499695
5, 1, 17, 300, 207, 2006, 0.0594170118006008,   0
5, 1, 17, 300, 207, 207,   0, 2.54202474319635
5, 1, 18, 300, 207, 2006, 0.0580599253755327,   0
5, 1, 18, 300, 207, 207,   0, 2.48396481782082
5, 1, 19, 300, 207, 2006, 0.0567338348472499,   0
5, 1, 19, 300, 207, 207,   0, 2.42723098297357
5, 1, 1, 300, 208, 2006, 0.0110833817646765,   0
5, 1, 1, 300, 208, 208,   0, 1.19371233823532
5, 1, 2, 300, 208, 2006, 0.0109814214494941,   0
5, 1, 2, 300, 208, 208,   0, 1.18273091678583
5, 1, 3, 300, 208, 2006, 0.0108803991066828,   0
5, 1, 3, 300, 208, 208,   0, 1.17185051767915
5, 1, 4, 300, 208, 2006, 0.0107803061074716,   0
5, 1, 4, 300, 208, 208,   0, 1.16107021157168
5, 1, 5, 300, 208, 2006, 0.0106811339024699,   0
5, 1, 5, 300, 208, 208,   0, 1.15038907766921
5, 1, 6, 300, 208, 2006, 0.0105828740209351,   0
5, 1, 6, 300, 208, 208,   0, 1.13980620364827
5, 1, 7, 300, 208, 2006, 0.0104855180700514,   0
5, 1, 7, 300, 208, 208,   0, 1.12932068557822
5, 1, 8, 300, 208, 2006, 0.0103890577342103,   0
5, 1, 8, 300, 208, 208,   0, 1.11893162784401
5, 1, 9, 300, 208, 2006, 0.0102934847743035,   0
5, 1, 9, 300, 208, 208,   0, 1.10863814306971
5, 1, 10, 300, 208, 2006, 0.0101987910270163,   0
5, 1, 10, 300, 208, 208,   0, 1.09843935204269
5, 1, 11, 300, 208, 2006, 0.0101049684041317,   0
5, 1, 11, 300, 208, 208,   0, 1.08833438363856
5, 1, 12, 300, 208, 2006, 0.0100120088918394,   0
5, 1, 12, 300, 208, 208,   0, 1.07832237474672
5, 1, 13, 300, 208, 2006, 0.00991990455005132,   0
5, 1, 13, 300, 208, 208,   0, 1.06840247019667
5, 1, 14, 300, 208, 2006, 0.00982864751172352,   0
5, 1, 14, 300, 208, 208,   0, 1.05857382268494
5, 1, 15, 300, 208, 2006, 0.00973822998218332,   0
5, 1, 15, 300, 208, 208,   0, 1.04883559270276
5, 1, 16, 300, 208, 2006, 0.00964864423846512,   0
5, 1, 16, 300, 208, 208,   0, 1.03918694846429
5, 1, 17, 300, 208, 2006, 0.00955988262864915,   0
5, 1, 17, 300, 208, 208,   0, 1.02962706583565
5, 1, 18, 300, 208, 2006, 0.00947193757120934,   0
