Year, Market,  Pool, AmountEmittedOrRetained
5, 301, 207, 2459.32643487481
6, 301, 207, 2410.43686395175
7, 301, 207, 2361.12499336593
8, 301, 207, 2307.38506408308
9, 301, 207, 2927.62433897671
10, 301, 207, 2882.85364913922
11, 301, 207, 2817.00918079343
12, 301, 207, 2752.66860218309
13, 301, 207, 2689.79756441917
14, 301, 207, 2628.36250314235
15, 301, 207, 2568.33062060433
16, 301, 207, 2509.66986815844
17, 301, 207, 2452.34892915008
18, 301, 207, 2396.33720219805
19, 301, 207, 2341.60478485765
1, 301, 208, 477.484935294129
2, 301, 208, 557.148656770552
3, 301, 208, 680.302715691459
4, 301, 208, 676.009696839009
5, 301, 208, 829.593080400742
6, 301, 208, 824.323946820328
7, 301, 208, 818.603951063449
8, 301, 208, 811.134374440649
9, 301, 208, 1022.01928851211
10, 301, 208, 1019.78687252227
11, 301, 208, 1010.40545869489
12, 301, 208, 1001.11034812143
13, 301, 208, 991.900746864883
14, 301, 208, 982.775868291965
15, 301, 208, 973.734933005947
16, 301, 208, 964.77716878007
17, 301, 208, 955.901810491584
18, 301, 208, 947.108100056405
19, 301, 208, 938.395286364352
1, 301, 209, 2338.12529307908
2, 301, 209, 2060.41004343752
3, 301, 209, 2042.16260420475
4, 301, 209, 1445.78029415428
5, 301, 209, 1757.2392800308
6, 301, 209, 1245.07074212761
7, 301, 209, 892.056502138667
8, 301, 209, 630.833688683935
9, 301, 209, 1524.19952151135
10, 301, 209, 1104.96352509105
11, 301, 209, 781.327201555676
12, 301, 209, 552.481762545527
13, 301, 209, 390.663600777838
14, 301, 209, 276.240881272763
15, 301, 209, 195.331800388919
16, 301, 209, 138.120440636382
17, 301, 209, 97.6659001944594
18, 301, 209, 69.0602203181908
19, 301, 209, 48.8329500972297
1, 301, 210, 828.113022245015
2, 301, 210, 958.925323448085
3, 301, 210, 1164.07044138544
4, 301, 210, 1146.43799818193
5, 301, 210, 1402.8644222463
6, 301, 210, 1381.60467767178
7, 301, 210, 1359.86320259833
8, 301, 210, 1335.38911363728
9, 301, 210, 1689.93540507348
10, 301, 210, 1671.82350132328
11, 301, 210, 1641.60468908736
12, 301, 210, 1611.93209277209
13, 301, 210, 1582.79583932788
14, 301, 210, 1554.18623416407
15, 301, 210, 1526.09375792319
16, 301, 210, 1498.50906331363
17, 301, 210, 1471.42297199941
18, 301, 210, 1444.82647154629
19, 301, 210, 1418.71071242304
1, 300, 200, 369.693863013646
2, 300, 200, 335.521501588078
3, 300, 200, 370.101580138853
4, 300, 200, 269.371886449461
5, 300, 200, 351.384620874086
6, 300, 200, 258.794654931708
7, 300, 200, 184.020947653061
8, 300, 200, 130.370488275957
9, 300, 200, 255.596485137225
10, 300, 200, 200.144725427652
11, 300, 200, 141.523692568612
12, 300, 200, 100.072362713826
13, 300, 200, 70.7618462843062
14, 300, 200, 50.036181356913
15, 300, 200, 35.3809231421531
16, 300, 200, 25.0180906784565
17, 300, 200, 17.6904615710766
18, 300, 200, 12.5090453392283
19, 300, 200, 8.84523078553828
1, 300, 202, 665.448953424564
2, 300, 202, 603.938702858541
3, 300, 202, 666.182844249935
4, 300, 202, 484.869395609029
5, 300, 202, 632.492317573355
6, 300, 202, 465.830378877074
7, 300, 202, 331.237705775509
8, 300, 202, 234.666878896722
9, 300, 202, 460.073673247005
10, 300, 202, 360.260505769774
11, 300, 202, 254.742646623502
12, 300, 202, 180.130252884887
13, 300, 202, 127.371323311751
14, 300, 202, 90.0651264424435
15, 300, 202, 63.6856616558756
16, 300, 202, 45.0325632212217
17, 300, 202, 31.8428308279378
18, 300, 202, 22.5162816106109
19, 300, 202, 15.9214154139689
1, 300, 201, 443.632635616376
2, 300, 201, 402.625801905694
3, 300, 201, 444.121896166623
4, 300, 201, 323.246263739353
5, 300, 201, 421.661545048903
6, 300, 201, 310.553585918049
7, 300, 201, 220.825137183673
8, 300, 201, 156.444585931148
9, 300, 201, 306.71578216467
10, 300, 201, 240.173670513183
11, 300, 201, 169.828431082335
12, 300, 201, 120.086835256591
13, 300, 201, 84.9142155411675
14, 300, 201, 60.0434176282956
15, 300, 201, 42.4571077705837
16, 300, 201, 30.0217088141478
17, 300, 201, 21.2285538852919
18, 300, 201, 15.0108544070739
19, 300, 201, 10.6142769426459
1, 301, 400, 665.448953424564
2, 301, 400, 603.938702858541
3, 301, 400, 666.182844249935
4, 301, 400, 484.869395609029
5, 301, 400, 632.492317573355
6, 301, 400, 465.830378877074
7, 301, 400, 331.237705775509
8, 301, 400, 234.666878896722
9, 301, 400, 460.073673247005
10, 301, 400, 360.260505769774
11, 301, 400, 254.742646623502
12, 301, 400, 180.130252884887
13, 301, 400, 127.371323311751
