Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 14, 300, 209, 209, 0, 6.4582197265625 
5, 1, 15, 300, 209, 209, 0, 4.56665096304508 
5, 1, 16, 300, 209, 209, 0, 3.22910986328125 
5, 1, 17, 300, 209, 209, 0, 2.28332548152254 
5, 1, 18, 300, 209, 209, 0, 1.61455493164063 
5, 1, 19, 300, 209, 209, 0, 1.14166274076127 
5, 1, 1, 300, 210, 210, 0, 207.028255561254 
5, 1, 2, 300, 210, 210, 0, 203.286145238373 
5, 1, 3, 300, 210, 210, 0, 199.611674908066 
5, 1, 4, 300, 210, 210, 0, 196.003621953092 
5, 1, 5, 300, 210, 210, 0, 192.460785855457 
5, 1, 6, 300, 210, 210, 0, 188.981987796966 
5, 1, 7, 300, 210, 210, 0, 185.566070266982 
5, 1, 8, 300, 210, 210, 0, 182.211896677296 
5, 1, 9, 300, 210, 210, 0, 178.918350983935 
5, 1, 10, 300, 210, 210, 0, 175.684337315826 
5, 1, 11, 300, 210, 210, 0, 172.508779610161 
5, 1, 12, 300, 210, 210, 0, 169.390621254353 
5, 1, 13, 300, 210, 210, 0, 166.328824734469 
5, 1, 14, 300, 210, 210, 0, 163.322371290015 
5, 1, 15, 300, 210, 210, 0, 160.370260574959 
5, 1, 16, 300, 210, 210, 0, 157.471510324885 
5, 1, 17, 300, 210, 210, 0, 154.625156030159 
5, 1, 18, 300, 210, 210, 0, 151.830250615008 
5, 1, 19, 300, 210, 210, 0, 149.085864122393 
5, 1, 1, 301, 204, 204, 0, 1494.44057811748 
5, 1, 2, 301, 204, 204, 0, 1482.97514969533 
5, 1, 3, 301, 204, 204, 0, 1471.59768465614 
5, 1, 4, 301, 204, 204, 0, 1460.30750814013 
5, 1, 5, 301, 204, 204, 0, 1449.10395046506 
5, 1, 6, 301, 204, 204, 0, 1437.98634708651 
5, 1, 7, 301, 204, 204, 0, 1426.95403855851 
5, 1, 8, 301, 204, 204, 0, 1416.00637049437 
5, 1, 9, 301, 204, 204, 0, 1405.14269352793 
5, 1, 10, 301, 204, 204, 0, 1394.36236327495 
5, 1, 11, 301, 204, 204, 0, 1383.66474029497 
5, 1, 12, 301, 204, 204, 0, 1373.04919005336 
5, 1, 13, 301, 204, 204, 0, 1362.51508288365 
5, 1, 14, 301, 204, 204, 0, 1352.06179395022 
5, 1, 15, 301, 204, 204, 0, 1341.68870321121 
5, 1, 16, 301, 204, 204, 0, 1331.39519538177 
5, 1, 17, 301, 204, 204, 0, 1321.18065989754 
5, 1, 18, 301, 204, 204, 0, 1311.04449087845 
5, 1, 19, 301, 204, 204, 0, 1300.98608709276 
5, 1, 1, 301, 205, 205, 0, 119.371233823532 
5, 1, 2, 301, 205, 205, 0, 118.273091678583 
5, 1, 3, 301, 205, 205, 0, 117.185051767915 
5, 1, 4, 301, 205, 205, 0, 116.107021157168 
5, 1, 5, 301, 205, 205, 0, 115.038907766921 
5, 1, 6, 301, 205, 205, 0, 113.980620364827 
5, 1, 7, 301, 205, 205, 0, 112.932068557822 
5, 1, 8, 301, 205, 205, 0, 111.893162784401 
5, 1, 9, 301, 205, 205, 0, 110.86381430697 
5, 1, 10, 301, 205, 205, 0, 109.843935204269 
5, 1, 11, 301, 205, 205, 0, 108.833438363856 
5, 1, 12, 301, 205, 205, 0, 107.832237474672 
5, 1, 13, 301, 205, 205, 0, 106.840247019667 
5, 1, 14, 301, 205, 205, 0, 105.857382268494 
5, 1, 15, 301, 205, 205, 0, 104.883559270276 
5, 1, 16, 301, 205, 205, 0, 103.918694846429 
5, 1, 17, 301, 205, 205, 0, 102.962706583565 
5, 1, 18, 301, 205, 205, 0, 102.015512826444 
5, 1, 19, 301, 205, 205, 0, 101.077032671007 
5, 1, 1, 301, 206, 206, 0, 591.509301603582 
5, 1, 2, 301, 206, 206, 0, 580.817557823923 
5, 1, 3, 301, 206, 206, 0, 570.319071165902 
5, 1, 4, 301, 206, 206, 0, 560.010348437404 
5, 1, 5, 301, 206, 206, 0, 549.887959587021 
5, 1, 6, 301, 206, 206, 0, 539.948536562759 
5, 1, 7, 301, 206, 206, 0, 530.188772191378 
5, 1, 8, 301, 206, 206, 0, 520.605419077988 
5, 1, 9, 301, 206, 206, 0, 511.195288525528 
5, 1, 10, 301, 206, 206, 0, 501.95524947379 
5, 1, 11, 301, 206, 206, 0, 492.882227457603 
5, 1, 12, 301, 206, 206, 0, 483.973203583865 
5, 1, 13, 301, 206, 206, 0, 475.225213527054 
5, 1, 14, 301, 206, 206, 0, 466.6353465429 
5, 1, 15, 301, 206, 206, 0, 458.200744499883 
5, 1, 16, 301, 206, 206, 0, 449.918600928242 
5, 1, 17, 301, 206, 206, 0, 441.786160086169 
5, 1, 18, 301, 206, 206, 0, 433.800716042879 
5, 1, 19, 301, 206, 206, 0, 425.959611778265 
5, 1, 1, 301, 207, 207, 0, 1471.59768465614 
5, 1, 2, 301, 207, 207, 0, 1437.98634708651 
5, 1, 3, 301, 207, 207, 0, 1405.14269352793 
5, 1, 4, 301, 207, 207, 0, 1373.04919005336 
5, 1, 5, 301, 207, 207, 0, 1341.68870321121 
5, 1, 6, 301, 207, 207, 0, 1311.04449087845 
5, 1, 7, 301, 207, 207, 0, 1281.10019332268 
5, 1, 8, 301, 207, 207, 0, 1251.83982446829 
5, 1, 9, 301, 207, 207, 0, 1223.24776336217 
5, 1, 10, 301, 207, 207, 0, 1195.30874583424 
5, 1, 11, 301, 207, 207, 0, 1168.00785634856 
5, 1, 12, 301, 207, 207, 0, 1141.33052004051 
5, 1, 13, 301, 207, 207, 0, 1115.26249493583 
5, 1, 14, 301, 207, 207, 0, 1089.78986434739 
5, 1, 15, 301, 207, 207, 0, 1064.89902944566 
5, 1, 16, 301, 207, 207, 0, 1040.57670199878 
5, 1, 17, 301, 207, 207, 0, 1016.80989727854 
5, 1, 18, 301, 207, 207, 0, 993.585927128328 
5, 1, 19, 301, 207, 207, 0, 970.892393189428 
5, 1, 1, 301, 208, 208, 0, 477.484935294129 
5, 1, 2, 301, 208, 208, 0, 473.092366714332 
5, 1, 3, 301, 208, 208, 0, 468.740207071659 
5, 1, 4, 301, 208, 208, 0, 464.42808462867 
5, 1, 5, 301, 208, 208, 0, 460.155631067682 
5, 1, 6, 301, 208, 208, 0, 455.922481459308 
5, 1, 7, 301, 208, 208, 0, 451.728274231288 
5, 1, 8, 301, 208, 208, 0, 447.572651137603 
5, 1, 9, 301, 208, 208, 0, 443.455257227882 
5, 1, 10, 301, 208, 208, 0, 439.375740817075 
5, 1, 11, 301, 208, 208, 0, 435.333753455423 
5, 1, 12, 301, 208, 208, 0, 431.328949898687 
5, 1, 13, 301, 208, 208, 0, 427.360988078667 
5, 1, 14, 301, 208, 208, 0, 423.429529073977 
5, 1, 15, 301, 208, 208, 0, 419.534237081104 
5, 1, 16, 301, 208, 208, 0, 415.674779385718 
5, 1, 17, 301, 208, 208, 0, 411.850826334258 
5, 1, 18, 301, 208, 208, 0, 408.062051305774 
5, 1, 19, 301, 208, 208, 0, 404.308130684029 
5, 1, 1, 301, 209, 209, 0, 2338.12529307908 
5, 1, 2, 301, 209, 209, 0, 1653.30425 
5, 1, 3, 301, 209, 209, 0, 1169.06264653954 
5, 1, 4, 301, 209, 209, 0, 826.652125 
5, 1, 5, 301, 209, 209, 0, 584.53132326977 
5, 1, 6, 301, 209, 209, 0, 413.3260625 
5, 1, 7, 301, 209, 209, 0, 292.265661634885 
5, 1, 8, 301, 209, 209, 0, 206.66303125 
5, 1, 9, 301, 209, 209, 0, 146.132830817442 
5, 1, 10, 301, 209, 209, 0, 103.331515625 
5, 1, 11, 301, 209, 209, 0, 73.0664154087212 
5, 1, 12, 301, 209, 209, 0, 51.6657578125 
5, 1, 13, 301, 209, 209, 0, 36.5332077043606 
5, 1, 14, 301, 209, 209, 0, 25.83287890625 
5, 1, 15, 301, 209, 209, 0, 18.2666038521803 
5, 1, 16, 301, 209, 209, 0, 12.916439453125 
5, 1, 17, 301, 209, 209, 0, 9.13330192609015 
5, 1, 18, 301, 209, 209, 0, 6.4582197265625 
5, 1, 19, 301, 209, 209, 0, 4.56665096304508 
